,RecordNum,Date Time(UTC),PTB110_mb,P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N2Cts,N3Cts,N4Cts,N5Cts,N6Cts,N7Cts,N8Cts,N1ETsec,N3ETsec,N5ETsec,N7ETsec,N1T(C),N1RH,N5T(C),N5RH,GpsUTC,LatDec,LongDec,Alt,Qual,NumSats,HDOP,Speed_kmh,COG,SpeedQuality,strDate,timestamp,x,y,total_counts,filtered_counts,incoming_flux,corrected_counts,corrected_smoothed,VWC
175,177, 2018/05/01 17:10:00,962.22,961.9,961.5,29.0,34.0,23.5,65.4,12.922,26.0,45.0,33.0,36.0,40.0,33.0,32.0,52.0,60,60,60,60,28.4,21.6,27.6,15.8,170634,38.75424,-97.38351,391.7,1.0,10,0.8,41.97,88.49,A,10518.0,2018-05-01 17:10:00,640461.7048575633,4290745.428133212,297.0,297.0,100.249,319.0,342.0,0.21896579330422122
176,178, 2018/05/01 17:11:00,961.85,961.8,961.5,29.0,34.0,23.6,63.6,12.927,36.0,50.0,35.0,38.0,38.0,37.0,46.0,45.0,60,60,60,60,28.5,21.6,27.6,15.8,170734,38.75434,-97.37557,391.9,1.0,10,0.8,41.28,89.22,A,10518.0,2018-05-01 17:11:00,641151.4787717436,4290768.744431671,325.0,325.0,100.249,348.0,329.0,0.2629051446945338
177,179, 2018/05/01 17:12:00,960.45,959.9,959.7,29.1,33.9,23.7,64.5,12.917,38.0,37.0,39.0,32.0,41.0,39.0,37.0,38.0,60,60,60,60,28.5,21.6,27.6,15.8,170834,38.75187,-97.37192,408.8,1.0,10,0.8,41.04,179.56,A,10518.0,2018-05-01 17:12:00,641473.5335447169,4290500.270307868,301.0,301.0,100.249,319.0,336.0,0.23816514459665136
178,180, 2018/05/01 17:13:00,960.17,960.4,960.0,29.1,33.8,23.4,64.8,12.923,35.0,45.0,49.0,40.0,42.0,35.0,36.0,50.0,60,60,60,60,28.5,21.6,27.6,15.8,170934,38.74568,-97.37197,411.2,1.0,11,0.8,41.11,179.4,A,10518.0,2018-05-01 17:13:00,641481.4089447593,4289813.2510079285,332.0,332.0,100.249,351.0,348.0,0.20137308228730824
179,181, 2018/05/01 17:14:00,959.68,959.6,959.3,29.1,33.8,23.3,64.3,12.926,52.0,43.0,41.0,35.0,37.0,49.0,32.0,39.0,60,60,60,60,28.5,21.6,27.6,15.8,171034,38.73982,-97.37207,415.9,1.0,11,0.8,25.47,262.71,A,10518.0,2018-05-01 17:14:00,641484.284809099,4289162.777154,328.0,328.0,100.249,345.0,345.0,0.20998148148148144
180,182, 2018/05/01 17:15:00,961.14,961.1,960.8,29.2,33.8,23.5,64.3,12.924,35.0,39.0,46.0,32.0,55.0,37.0,52.0,47.0,60,60,60,60,28.5,21.6,27.6,15.8,171134,38.73978,-97.37643,399.9,1.0,11,0.8,0.0,259.63,A,10518.0,2018-05-01 17:15:00,641105.4113161908,4289151.607451513,343.0,343.0,100.249,365.0,345.0,0.20998148148148144
181,183, 2018/05/01 17:16:00,960.94,960.8,960.5,29.2,33.7,23.3,64.0,12.925,37.0,44.0,36.0,33.0,37.0,30.0,41.0,47.0,60,60,60,60,28.5,21.6,27.6,15.8,171234,38.73981,-97.37744,401.1,1.0,11,0.8,54.23,272.13,A,10518.0,2018-05-01 17:16:00,641017.567471159,4289153.380136542,305.0,305.0,100.249,324.0,340.0,0.22517651403249633
182,184, 2018/05/01 17:17:00,961.31,961.0,960.7,29.2,33.7,23.4,65.6,12.923,36.0,41.0,36.0,43.0,46.0,37.0,36.0,40.0,60,60,60,60,28.5,21.6,27.6,15.8,171334,38.73973,-97.38545,397.7,1.0,10,0.8,41.0,268.65,A,10518.0,2018-05-01 17:17:00,640321.530165262,4289132.191553649,315.0,315.0,100.249,336.0,,
183,185, 2018/05/01 17:18:00,961.06,960.9,960.5,29.2,33.7,23.2,67.7,12.926,52.0,40.0,50.0,33.0,41.0,45.0,44.0,51.0,60,60,60,60,28.5,21.6,27.6,15.8,171434,38.73972,-97.3932,399.0,1.0,10,0.8,39.71,272.32,A,10518.0,2018-05-01 17:18:00,639647.9536154101,4289119.22890523,356.0,356.0,100.249,380.0,,
184,186, 2018/05/01 17:19:00,961.21,961.3,961.0,29.2,33.8,22.9,69.4,12.925,49.0,37.0,31.0,44.0,36.0,45.0,46.0,45.0,60,60,60,60,28.5,21.6,27.6,15.8,171534,38.73975,-97.40102,393.4,1.0,10,0.8,40.26,272.08,A,10518.0,2018-05-01 17:19:00,638968.2158061437,4289110.6560710315,333.0,333.0,100.249,356.0,368.0,0.152061811505508
185,187, 2018/05/01 17:20:00,962.11,962.3,961.9,29.2,33.8,23.1,68.3,12.92,33.0,40.0,31.0,38.0,44.0,36.0,51.0,43.0,60,60,60,60,28.6,21.6,27.6,15.8,171634,38.73981,-97.40878,384.0,1.0,10,0.8,40.41,269.32,A,10518.0,2018-05-01 17:20:00,638293.6361801719,4289105.561256444,316.0,316.0,100.249,340.0,368.0,0.152061811505508
186,188, 2018/05/01 17:21:00,963.34,963.5,963.1,29.2,33.7,23.3,67.2,12.922,41.0,50.0,42.0,44.0,49.0,50.0,39.0,45.0,60,60,60,60,28.6,21.6,27.7,15.8,171734,38.73981,-97.41656,375.0,1.0,10,0.8,40.32,269.71,A,10518.0,2018-05-01 17:21:00,637617.4351197898,4289093.835054029,360.0,360.0,100.249,391.0,365.0,0.1586745635910224
187,189, 2018/05/01 17:22:00,964.14,964.3,963.8,29.3,33.7,23.5,67.8,12.924,34.0,40.0,38.0,35.0,36.0,48.0,35.0,42.0,60,60,60,60,28.6,21.6,27.7,15.8,171834,38.73978,-97.42429,369.6,1.0,10,0.8,40.5,269.69,A,10518.0,2018-05-01 17:22:00,636945.637685674,4289078.911912989,308.0,308.0,100.249,337.0,378.0,0.1316718569780854
188,190, 2018/05/01 17:23:00,964.17,964.2,963.8,29.3,33.7,23.5,68.1,12.92,38.0,40.0,51.0,37.0,40.0,35.0,46.0,42.0,60,60,60,60,28.6,21.6,27.7,15.8,171934,38.73973,-97.43124,368.0,1.0,10,0.8,40.23,271.28,A,10518.0,2018-05-01 17:23:00,636341.672131342,4289062.987630357,329.0,329.0,100.249,360.0,360.0,0.1702631917631918
189,191, 2018/05/01 17:24:00,964.19,963.9,963.6,29.3,33.7,23.5,68.9,12.926,40.0,44.0,37.0,35.0,54.0,46.0,32.0,39.0,60,60,60,60,28.6,21.6,27.7,15.8,172034,38.73975,-97.43898,369.9,1.0,10,0.8,40.39,269.89,A,10518.0,2018-05-01 17:24:00,635668.9106682127,4289053.706257675,327.0,327.0,100.249,358.0,358.0,0.17511016949152547
190,192, 2018/05/01 17:25:00,963.87,963.6,963.3,29.3,33.6,23.6,66.4,12.925,44.0,40.0,43.0,47.0,30.0,35.0,39.0,31.0,60,60,60,60,28.6,21.6,27.7,15.8,172134,38.73978,-97.44584,374.3,1.0,10,0.8,19.43,268.98,A,10518.0,2018-05-01 17:25:00,635072.6165210671,4289046.889807208,309.0,309.0,100.249,337.0,358.0,0.17511016949152547
191,193, 2018/05/01 17:26:00,962.76,962.7,962.4,29.3,33.6,24.0,62.7,12.921,46.0,60.0,34.0,42.0,41.0,37.0,43.0,42.0,60,60,60,60,28.6,21.6,27.7,15.8,172234,38.73979,-97.45335,382.9,1.0,10,0.8,40.8,268.3,A,10518.0,2018-05-01 17:26:00,634419.8660904884,4289036.943793636,345.0,345.0,100.249,372.0,357.0,0.1775813648293964
192,194, 2018/05/01 17:27:00,962.13,961.9,961.6,29.4,33.6,24.0,63.5,12.922,48.0,28.0,39.0,41.0,52.0,45.0,46.0,34.0,60,60,60,60,28.6,21.6,27.7,15.8,172334,38.73982,-97.46107,388.2,1.0,11,0.8,40.84,270.28,A,10518.0,2018-05-01 17:27:00,633748.8269087186,4289028.963983177,333.0,333.0,100.249,357.0,360.0,0.1702631917631918
193,195, 2018/05/01 17:28:00,960.9,960.8,960.5,29.4,33.5,23.6,65.7,12.923,46.0,56.0,38.0,50.0,37.0,43.0,36.0,50.0,60,60,60,60,28.6,21.6,27.7,15.8,172434,38.73643,-97.4644,386.5,1.0,11,0.8,41.02,180.54,A,10518.0,2018-05-01 17:28:00,633465.7114304412,4288647.898690088,356.0,356.0,100.249,379.0,360.0,0.1702631917631918
194,196, 2018/05/01 17:29:00,961.91,961.5,961.4,29.4,33.6,23.4,66.7,12.923,40.0,44.0,36.0,42.0,46.0,55.0,47.0,46.0,60,60,60,60,28.7,21.6,27.7,15.8,172534,38.73035,-97.46446,383.1,1.0,12,0.7,41.26,180.18,A,10518.0,2018-05-01 17:29:00,633471.8133981689,4287973.0848112125,356.0,356.0,100.249,382.0,366.0,0.15644299876084267
195,197, 2018/05/01 17:30:00,962.32,961.8,961.4,29.4,33.6,23.5,66.8,12.923,41.0,55.0,45.0,46.0,39.0,46.0,54.0,58.0,60,60,60,60,28.7,21.6,27.8,15.8,172634,38.72524,-97.46345,380.9,1.0,11,0.8,40.82,91.47,A,10518.0,2018-05-01 17:30:00,633569.1256474769,4287407.47732525,384.0,384.0,100.249,413.0,,
196,198, 2018/05/01 17:31:00,962.47,962.6,962.2,29.4,33.6,23.7,65.4,12.922,47.0,38.0,31.0,36.0,52.0,33.0,40.0,53.0,60,60,60,60,28.7,21.6,27.8,15.8,172734,38.72524,-97.45563,383.4,1.0,12,0.7,41.17,90.02,A,10518.0,2018-05-01 17:31:00,634248.938197182,4287418.9142618505,330.0,,100.27,,,
197,199, 2018/05/01 17:32:00,963.49,963.4,963.2,29.4,33.7,23.9,64.9,12.925,38.0,50.0,43.0,47.0,57.0,29.0,35.0,46.0,60,60,60,60,28.7,21.6,27.7,15.8,172834,38.72526,-97.44783,379.3,1.0,12,0.7,41.15,89.67,A,10518.0,2018-05-01 17:32:00,634926.9750186325,4287432.599317176,345.0,,100.27,,,
198,200, 2018/05/01 17:33:00,964.23,964.4,963.9,29.4,33.7,23.7,67.3,12.918,41.0,38.0,52.0,36.0,44.0,38.0,44.0,43.0,60,60,60,60,28.7,21.6,27.8,15.8,172934,38.72528,-97.44189,371.2,1.0,12,0.7,40.71,89.11,A,10518.0,2018-05-01 17:33:00,635443.3172444428,4287443.589048981,336.0,,100.27,,,
199,201, 2018/05/01 17:34:00,964.18,964.3,964.1,29.5,33.7,23.3,68.1,12.92,49.0,40.0,41.0,43.0,30.0,39.0,49.0,43.0,60,60,60,60,28.7,21.6,27.8,15.8,173034,38.72526,-97.43415,371.5,1.0,11,0.8,40.52,89.73,A,10518.0,2018-05-01 17:34:00,636116.2142721631,4287452.847730289,334.0,,100.27,,,
